WetLab>>CNAG/Novogene barcode	SAMPLE_ID	PROJECT	METHOD	TISSUE	DryLab>>SEQUENCING_PANEL	WetLab>>NUM_CAPTURES	WetLab>>Multiplexing_binary	WetLab>>TapeStation (after fragmentation) --> Size (bp)	WetLab>>Ligation nonadapter size (bp)	WetLab>>Library_size (bp)	WetLab>>Input (ng)	WetLab>>Real diversity --> fmol to PCR1	WetLab>>Recovery_Input2Lig_raw	WetLab>>Recovery_Input2Lig_genomic	WetLab>>Recovery_Input2Lig_qpcr	WetLab>>qPCR unique molecules	WetLab>>qpcr_unique_molecules_6	WetLab>>Theoretical_max_depth-lig	WetLab>>Theoretical_max_depth-lib	SeqInfo>>GBs_obtained	FamMetrics>>total_GBs_for_optimal	SeqInfo>>GBs_missing	BamQC>>duplex.median_insert_size	BamQC>>duplex.mean_coverage	REAL_MEAN_DEPTH_ONTARGET	Combined>>unique_molecules_obs/exp6	Combined>>recovery.input_ng2duplex_depth	Combined>>recovery.lig_ng2duplex_depth	Combined>>recovery.qpcr_ng2duplex_depth	FamMetrics>>on_target.unique_molecules_perc	FamMetrics>>on_target.unique_molecules	FamMetrics>>on_target.duplicates	FamMetrics>>all.duplicates	FamMetrics>>on_target.duplex.peak_size	FamMetrics>>on_target.duplex.sscs_x_dscs	FamMetrics>>amplification_bias.on/off	Novogene>>Project_ID	Novogene>>GBs_requested	Novogene>>GBs_obtained	SeqInfo>>GBs_not_analysed	Combined>>GBs_requested/optimal
IDT007_03	CHp_51_T0_H_IDT007_03	IDT007	IDT	CHIP	pancancer_panel	1	No	364	393	796	250	69.50	0.500800000	0.362457459	0.065770908	41839000000	32056919.58	3932.866	3932.866	486.9525813	382.0844155	104.8681658	405	2242.4495		1.994339906	0.026909394	0.0742415237	0.409138247	0.8263077061	63932394	88.89	88.13	11	7.158	1.96934597	NOVOGENE_47	348	487	0.0474187	0.9107934946
IDT007_04	CHp_59_T0_H_IDT007_04	IDT007	IDT	CHIP	pancancer_panel	1	No	415	369	911	250	30.00	0.380000000	0.270173410	0.026656560	18060000000	13837519.24	1697.64	1697.64	280.7327685	287.2024862	-6.469717685	418	2117.8699		3.492104267	0.0254144388	0.09406713548	0.9534027947	0.802114584	48322060	84.53	83.08	8	5.848	2.45112948	NOVOGENE_47	202	280.78	0.0472315	0.7033365299
IDT012_01	CHa_10_T0_H_IDT012_01	IDT012	IDT	CHIP	pancancer_panel	1	Yes	155	334	1088	250	88.10	0.326400000	0.225242975	0.070856363	53036200000	40636181.51	4985.4028	4985.4028	588.9184113	302.3221698	286.5962415	275	2527.1559		1.232326319	0.0303258708	0.1346362557	0.4279907891	0.7743663146	50077036	92.28	91.41	17	4.948	2.46953458	NOVOGENE_59	250.5	588.92	0.0015887	0.8285862734
IDT012_02	CHa_10_T0_H_IDT012_02	IDT012	IDT	CHIP	pancancer_panel	1	No	165	328	506	250	98.90	0.366400000	0.251420921	0.078113594	59537800000	45617688.44	5596.5532	5596.5532	868.3155606	345.6810779	522.6344827	266	2932.0892		1.235588298	0.0351850704	0.1399448794	0.4504346654	0.7251484816	56364682	93.98	93.03	22	4.738	2.79253068	NOVOGENE_59	650	868.31	-0.0055606	1.880345907
IDT012_03	CHa_31_T0_H_IDT012_03	IDT012	IDT	CHIP	pancancer_panel	1	No	155	326	610	250	43.90	0.231200000	0.158342857	0.034461851	26427800000	20248903.16	2484.2132	2484.2132	325.181247	237.4094452	87.77180177	265	1945.7533		1.92731743	0.0233490396	0.1474587488	0.6775329469	0.7299373515	39026064	88.89	87.14	12	5.015	2.92365153	NOVOGENE_59	278	325.18	-0.001247	1.170972788
IDT012_04	CHa_31_T0_H_IDT012_04	IDT012	IDT	CHIP	pancancer_panel	1	Yes	163	301	1088	250	62.70	0.257600000	0.171923725	0.045445462	37745400000	28920415.22	3548.0676	3548.0676	652.2037824	260.5164934	391.687289	261	2322.4484		1.489534354	0.0278693808	0.1621031698	0.6132489322	0.7263270287	43077952	93.94	92.92	24	4.595	3.14205324	NOVOGENE_59	250.5	652.2	-0.0037824	0.961551404
IDT014_01	IA012_C_1_H_1	IDT014	IDT	Colon	pancancer_panel	1	Yes	173	345	518	250	28.40	0.188800000	0.131587879	0.023593584	17096800000	13099518.22	1607.0992	1607.0992	174.9228744	163.297474	11.62540043	282	1177.5632	2192.49	2.062217369	0.0141307584	0.1073864746	0.5989237752	0.7576342988	27014054	85.86	84.05	9	5.472	2.67859749	NOVOGENE_61	184	174.93	0.0071256	1.126777993
IDT014_02	IA012_C_2_H_1	IDT014	IDT	Colon	pancancer_panel	1	Yes	197	342	518	250	21.80	0.230400000	0.160156098	0.017953085	13123600000	10055263.98	1233.6184	1233.6184	211.9068009	215.2618694	-3.355068466	286	1389.6449	2602.06	3.551564639	0.0166757388	0.1041217853	0.9288508903	0.7797991052	35711920	84.99	83.36	8	6.021	2.42915989	NOVOGENE_61	184	211.91	0.0031991	0.8547728427
IDT014_03	IA013_C_1_H_1	IDT014	IDT	Colon	pancancer_panel	1	Yes	175	289	437	250	23.70	0.251200000	0.165368565	0.016493114	14267400000	10931640.2	1341.1356	1222.2406	249.2172603	245.6203344	3.596925891	233	1652.3495	3295.13	3.728095258	0.019828194	0.1199030421	1.202210421	0.7919615877	40754196	85.29	83.93	9	5.499	2.26284133	NOVOGENE_61	232	249.22	0.0027397	0.9445472035
IDT014_04	IA013_C_2_H_1	IDT014	IDT	Colon	pancancer_panel	1	Yes	169	345	437	250	14.00	0.200800000	0.139951515	0.011630640	8428000000	6457508.981	792.232	721.9986667	294.5993694	224.3558087	70.2435607	258	1731.1015	3241.37	5.778681549	0.020773218	0.1484315334	1.786076948	0.7574116595	37315888	88.48	86.93	12	5.042	2.82448334	NOVOGENE_61	232	294.61	0.0106306	1.034071733
IDT014_05	IA014_C_1_H_1	IDT014	IDT	Colon	pancancer_panel	1	Yes	180	299	436	250	14.00	0.212000000	0.141175947	0.010079888	8428000000	6457508.981	792.232	719.1893333	240.8170395	239.2942522	1.522787278	244	1545.6179	3009.97	6.143355297	0.0185474148	0.1313780092	1.840041754	0.7709884949	39670772	85.29	83.57	9	5.643	2.53795193	NOVOGENE_61	266	240.81	-0.0070395	1.111602128
IDT014_06	IA014_C_2_H_1	IDT014	IDT	Colon	pancancer_panel	1	Yes	162	343	436	250	21.50	0.232800000	0.161968357	0.017757796	12943000000	9916888.792	1216.642	1104.469333	304.6984053	234.3200096	70.37839574	244	1576.5675	2970.19	3.926202342	0.01891881	0.1168055931	1.065380524	0.7478672009	38935712	88.62	86.92	13	5.412	2.94524758	NOVOGENE_61	266	304.7	0.0015947	1.135199681
IDT014_07	IA017_C_1_H_1	IDT014	IDT	Colon	pancancer_panel	1	Yes	252	390	487	250	16.20	0.248000000	0.179111111	0.015213744	9752400000	7472260.392	916.7256	916.7256	202.551138	200.5514812	1.999656785	263	1300.4185	2530.37	4.477991163	0.015605022	0.08712481266	1.025718719	0.8007475079	33460716	85.50	84.17	9	5.905	2.26349152	NOVOGENE_61	204	202.55	-0.001138	1.01719518
IDT014_08	IA017_C_2_H_1	IDT014	IDT	Colon	pancancer_panel	1	Yes	260	299	487	250	23.60	0.187200000	0.124661024	0.016991811	14207200000	10885515.14	1335.4768	1335.4768	246.7094643	172.7784513	73.93101302	264	1349.6157	2477.22	2.642243994	0.0161953884	0.1299154123	0.9531290225	0.7472212161	28762187	89.41	87.84	14	4.949	3.00882655	NOVOGENE_61	204	246.71	0.0005357	1.180702793
IDT015_01	IA015_C_1_H_1	IDT015	IDT	Colon	pancancer_panel	1	Yes	297	419	475	250	23.40	0.195200000	0.143741301	0.023609477	14086800000	10793265.01	1324.1592	1324.1592	212.4450825	206.5849029	5.860179628	271	1404.2152	2745.74	3.061027406	0.0168505824	0.1172285372	0.7137211274	0.6678974821	33038480	85.39	82.32	10	5.427	3.14832617	NOVOGENE_63	203	212.44	-0.0050825	0.9826468303
IDT015_02	IA015_C_2_H_1	IDT015	IDT	Colon	pancancer_panel	1	Yes	187	373	475	250	29.10	0.225600000	0.160896367	0.026137154	17518200000	13422393.67	1646.7108	1646.7108	208.0115172	183.4608025	24.55071468	272	1229.3934	2360.57	2.182863111	0.0147527208	0.09169082599	0.5644348491	0.6419274197	29299248	86.84	83.54	11	5.457	3.49592695	NOVOGENE_63	203	208.01	-0.0015172	1.10650339
IDT015_03	IA019_C_1_H_1	IDT015	IDT	Colon	pancancer_panel	1	Yes	178	356	474	250	23.44	0.216000000	0.151968379	0.020094750	14111482000	10812176.29	1326.479308	1326.479308	242.8717665	190.8251653	52.04660115	261	1356.2346	2628.98	2.855002562	0.0162748152	0.1070934313	0.8099038257	0.6629660459	30868791	88.27	85.56	13	5.217	3.51133244	NOVOGENE_63	207	242.88	0.0082335	1.084762587
IDT015_04	IA019_C_2_H_1	IDT015	IDT	Colon	pancancer_panel	1	Yes	178	339	474	250	34.10	0.234400000	0.162498160	0.027836239	20528200000	15728646.87	1929.6508	1929.6508	255.1950777	212.6008441	42.59423357	262	1525.5215	2988.12	2.18348395	0.018306258	0.1126551713	0.6576412089	0.6798774246	34343248	87.50	84.96	11	5.176	3.21657799	NOVOGENE_63	207	255.19	-0.0050777	0.9736555885
IDT015_06	IA011_C_2_H_1	IDT015	IDT	Colon	pancancer_panel	1	Yes	289	429	496	250	29.00	0.258400000	0.191456995	0.029957928	17458000000	13376268.6	1641.052	1641.052	313.8440922	253.3969738	60.4471184	269	1608.3681	3135.71	2.648046032	0.0193004172	0.1008081069	0.6442507372	0.4622174275	35420975	87.79	82.36	12	5.076	3.58226165	NOVOGENE_63	203	313.84	-0.0040922	0.8011145396
IDT016_01	IA016_C_1_H_1	IDT016	IDT	Colon	pancancer_panel	1	Yes	261	366	514	250	44.30	0.306400000	0.217330233	0.039042830	26668600000	20433403.42	2506.8484	2506.8484	271.6113849	199.2144899	72.39689502	271	1346.2571	2723.02	1.645626395	0.0161550852	0.07433427467	0.4137785359	0.8346499949	33625748	89.39	88.68	12	5.606	2.03975952	NOVOGENE_63	255	271.61	-0.0013849	1.280027372
IDT016_02	IA016_C_2_H_1	IDT016	IDT	Colon	pancancer_panel	1	Yes	286	332	514	250	36.80	0.292800000	0.201679668	0.029419981	22153600000	16974023.61	2082.4384	2082.4384	371.0333211	179.9599452	191.0733759	268	1140.5836	2169.27	1.789508292	0.0136870032	0.06786506212	0.4652281486	0.7878801288	30375156	93.11	92.26	21	5.811	2.77144249	NOVOGENE_63	255	371.03	-0.0033211	1.416981983
IDT016_03	IA010_C_1_H_1	IDT016	IDT	Colon	pancancer_panel	1	Yes	438	361	489	250	40.49	0.294400000	0.207981213	0.035193954	24372544289	18674172.24	2291.019163	2291.019163	290.9159001	208.6882727	82.22762742	268	1501.6104	3025.98	1.891892746	0.0180193248	0.08663919454	0.512000579	0.8318223969	35329531	89.54	88.79	13	5.364	2.15378608	NOVOGENE_63	245	290.92	0.0040999	1.173999846
IDT017_03	B_2_1_H_1	IDT017	IDT	BloodFA	pancancer_panel	1	Yes	172	22	507	250	78.53	0.798000000	0.102069767	0.004160046	47273254000	36220629.12	346.6705293	4443.685876	336.624669	235.5998151	101.0248539	263	1646.9119	3356.88	1.102407246	0.0197629428	0.1936219049	4.750654471	0.8469734135	39929884	89.87	89.28	13	5.488	1.94996724	NOVOGENE_64	260	336.62	-0.004669	1.103566231
IDT017_04	B_2_1_H_2	IDT017	IDT	BloodFA	pancancer_panel	1	Yes	197	47	507	250	33.20	0.794000000	0.189431472	0.003757443	19986400000	15313521.3	313.1202667	1878.7216	316.9853235	214.5798853	102.4054382	285	1510.2698	3008.23	2.367199633	0.0181232376	0.09567173501	4.823289837	0.8461605328	36250162	90.23	89.67	13	5.567	1.89012801	NOVOGENE_64	260	316.99	0.0046765	1.211669955
IDT017_05	B_3_1_H_1	IDT017	IDT	BloodFA	pancancer_panel	1	Yes	297	147	509	250	76.80	0.660000000	0.326666667	0.027185357	46233600000	35424049.27	2265.4464	4345.9584	352.067934	266.8122349	85.25569914	269	1979.3866	3979.67	1.280475297	0.0237526392	0.07271216082	0.8737291688	0.8367902413	45359620	88.84	88.05	12	5.267	2.18443036	NOVOGENE_64	285	352.07	0.002066	1.068166908
IDT017_06	B_3_1_H_2	IDT017	IDT	BloodFA	pancancer_panel	1	Yes	302	152	509	250	54.70	0.648000000	0.326145695	0.020021075	32929400000	25230410.09	1668.422933	3095.3636	361.9396647	247.2156591	114.7240056	272	1830.7328	3664.87	1.663438044	0.0219687936	0.06735883353	1.097283407	0.8411985415	41969224	89.98	89.33	13	5.242	2.07872135	NOVOGENE_64	285	361.94	0.0003353	1.152839594
IDT018_01	B_4_1_H_1	IDT018	IDT	BloodFA	pancancer_panel	1	Yes	206	344	470	250	48.50	0.232800000	0.162111741	0.040175072	29197000000	22370656.11	2744.518	2744.518	571.7173539	217.5872477	354.1301062	272	1602.1983	3159.07	1.626051101	0.0192263796	0.1185995505	0.4785649071	0.8089907366	36375830	94.44	93.97	24	5.157	2.19203634	NOVOGENE_65	484	571.72	0.0026461	2.224395065
IDT018_02	B_4_1_H_2	IDT018	IDT	BloodFA	pancancer_panel	1	Yes	210	357	470	250	41.00	0.255200000	0.179697041	0.035245896	24682000000	18911276.3	2320.108	2320.108	891.4407885	256.7943676	634.6464209	287	2029.9468	3807.35	2.272407918	0.0243593616	0.1355579447	0.6911261839	0.7834701691	42974134	95.74	95.25	33	4.915	2.59299116	NOVOGENE_65	484	891.44	-0.0007885	1.884776542
IDT018_03	B_5_1_H_1	IDT018	IDT	BloodFA	pancancer_panel	1	Yes	221	317	455	250	48.15	0.279200000	0.189521199	0.036754628	28986300000	22209218.39	2724.7122	2657.0775	562.4354025	202.2564311	360.1789714	272	1536.2539	2981.64	1.537645018	0.0184350468	0.0972716872	0.5015707573	0.8262583942	34149894	94.75	94.35	27	5.065	2.17272998	NOVOGENE_65	486	562.43	-0.0054025	2.402890219
IDT018_04	B_5_1_H_2	IDT018	IDT	BloodFA	pancancer_panel	1	Yes	186	333	455	250	46.10	0.268000000	0.184770186	0.036965930	27752200000	21263654.57	2608.7068	2543.951667	557.4471528	213.0516659	344.3954869	279	1663.3081	3183.54	1.691003956	0.0199596972	0.108024447	0.5399484602	0.8212576847	35956924	94.39	93.94	25	4.983	2.23781345	NOVOGENE_65	486	557.45	0.0028472	2.281136822
IDT018_05	B_6_1_H_1	IDT018	IDT	BloodFA	pancancer_panel	1	Yes	170	287	457	250	41.20	0.195200000	0.128197712	0.028473155	24802400000	19003526.43	2331.4256	2290.088267	431.4860739	165.5506585	265.9354154	269	1305.791	2456.55	1.459806426	0.015669492	0.1222291084	0.5503251006	0.7609686557	27741470	94.32	93.52	26	4.846	2.98827937	NOVOGENE_65	440	431.49	0.0039261	2.657796738
IDT018_06	B_6_1_H_2	IDT018	IDT	BloodFA	pancancer_panel	1	Yes	180	297	457	250	42.90	0.198400000	0.131822819	0.030681050	25825800000	19787652.52	2427.6252	2384.5822	526.8216357	186.5252735	340.2963622	280	1464.5956	2719.38	1.584502152	0.0175751472	0.133324013	0.572833947	0.7692644277	31353578	94.76	94.06	29	4.892	2.94977386	NOVOGENE_65	440	526.82	-0.0016357	2.35892966
IDT018_07	B_7_1_H_1	IDT018	IDT	BloodFA	pancancer_panel	1	No	232	298	500	250	32.50	0.192000000	0.127714286	0.023321480	19565000000	14990645.85	1839.11	1839.11	397.2320982	172.5265992	224.705499	278	1317.0431	2458.77	1.926196262	0.0158045172	0.1237490161	0.6776807132	0.7864449178	28874926	93.54	92.82	22	5.013	2.55032696	NOVOGENE_65	332	397.24	0.0079018	1.924340951
IDT018_08	B_7_1_H_2	IDT018	IDT	BloodFA	pancancer_panel	1	No	153	274	500	250	18.50	0.106400000	0.068758491	0.012206152	11137000000	8533136.867	1017.179333	1046.878	300.9091281	107.7569033	193.1522248	272	826.7377	1461.62	2.105140499	0.0099208524	0.1442854885	0.8127747713	0.7204579564	17963452	94.61	93.60	32	4.865	3.49978543	NOVOGENE_65	192	300.91	0.0008719	1.781788397
IDT027_01	IA026_A_1_H_3	IDT027	IDT	Anal	pancancer_panel	1	Yes	183	333	503	250	35.60	0.215200000	0.148367702	0.028546358	21431200000	16420522.84	2014.5328	2014.5328	102.1880223	108.7458307	-6.557808389	288	1027.6852	2105.75	1.10267914	0.0123322224	0.0831193194	0.432006851	0.7445412235	18106568	83.19	80.97	8	4.634	3.05802451	NOVOGENE_75	103	102.2	0.0119777	0.9471627496
IDT027_02	IA026_A_1_H_4	IDT027	IDT	Anal	pancancer_panel	1	Yes	288	340	503	250	44.00	0.292800000	0.203167347	0.036023680	26488000000	20295028.23	2489.872	2489.872	129.8169447	138.708566	-8.891621286	280	1328.5923	2749.3	1.151292314	0.0159431076	0.07847278532	0.4425729853	0.7609227895	23365510	83.12	80.99	8	4.624	3.16263293	NOVOGENE_75	103	129.82	0.0030553	0.7425640894
IDT027_05	IA020_A_1_H_3	IDT027	IDT	Anal	pancancer_panel	1	Yes	194	315	424	250	96.80	0.349600000	0.236825806	0.073424736	58273600000	44649062.1	5477.7184	4739.586133	169.850757	151.1414013	18.70935569	257	1022.8052	2144.72	0.5791845514	0.0122736624	0.05182569663	0.1671597757	0.8348381053	25860047	87.30	86.31	10	5.854	2.40292690	NOVOGENE_75	106	169.86	0.009243	0.7013300067
IDT027_06	IA020_A_1_H_4	IDT027	IDT	Anal	pancancer_panel	1	Yes	167	295	424	250	65.50	0.362400000	0.240242697	0.046528580	39431000000	30211917.02	3706.514	3207.054667	175.1314782	160.039639	15.09183917	247	1080.931	2297.39	0.906213167	0.012971172	0.0539919514	0.2787785916	0.8328482734	27378437	86.89	85.86	10	5.804	2.43291621	NOVOGENE_75	106	175.13	-0.0014782	0.6623359103